match_id,competition,stage,date,manager,manager_type,opponent,h_a,gf,ga,gd,manager_gf,manager_ga,manager_gd,cum_gf,cum_ga,cum_gd,games_in_charge
1453002,Community Shield,knockout,2013-08-11,David Moyes,Permanent,Wigan,h,2,0,2,2,0,2,2,0,2,1
1474079,Premier League,league,2013-08-17,David Moyes,Permanent,Swansea,a,4,1,3,6,1,5,6,1,5,2
1474133,Premier League,league,2013-08-26,David Moyes,Permanent,Chelsea,h,0,0,0,6,1,5,6,1,5,3
1474162,Premier League,league,2013-09-01,David Moyes,Permanent,Liverpool,a,0,1,-1,6,2,4,6,2,4,4
1474178,Premier League,league,2013-09-14,David Moyes,Permanent,Crystal Palace,h,2,0,2,8,2,6,8,2,6,5
1573681,Champions League,league,2013-09-17,David Moyes,Permanent,Leverkusen,h,4,2,2,12,4,8,12,4,8,6
1474200,Premier League,league,2013-09-22,David Moyes,Permanent,Man City,a,1,4,-3,13,8,5,13,8,5,7
1573093,League Cup,knockout,2013-09-25,David Moyes,Permanent,Liverpool,h,1,0,1,14,8,6,14,8,6,8
1474213,Premier League,league,2013-09-28,David Moyes,Permanent,West Brom,h,1,2,-1,15,10,5,15,10,5,9
1573683,Champions League,league,2013-10-02,David Moyes,Permanent,Shakhtar Donetsk,a,1,1,0,16,11,5,16,11,5,10
1474241,Premier League,league,2013-10-05,David Moyes,Permanent,Sunderland,a,2,1,1,18,12,6,18,12,6,11
1474262,Premier League,league,2013-10-19,David Moyes,Permanent,Southampton,h,1,1,0,19,13,6,19,13,6,12
1573692,Champions League,league,2013-10-23,David Moyes,Permanent,Real Sociedad,h,1,0,1,20,13,7,20,13,7,13
1474298,Premier League,league,2013-10-26,David Moyes,Permanent,Stoke,h,3,2,1,23,15,8,23,15,8,14
1591075,League Cup,knockout,2013-10-29,David Moyes,Permanent,Norwich,h,4,0,4,27,15,12,27,15,12,15
1474332,Premier League,league,2013-11-02,David Moyes,Permanent,Fulham,a,3,1,2,30,16,14,30,16,14,16
1573694,Champions League,league,2013-11-05,David Moyes,Permanent,Real Sociedad,a,0,0,0,30,16,14,30,16,14,17
1474368,Premier League,league,2013-11-10,David Moyes,Permanent,Arsenal,h,1,0,1,31,16,15,31,16,15,18
1474387,Premier League,league,2013-11-24,David Moyes,Permanent,Cardiff,a,2,2,0,33,18,15,33,18,15,19
1573714,Champions League,league,2013-11-27,David Moyes,Permanent,Leverkusen,a,5,0,5,38,18,20,38,18,20,20
1474430,Premier League,league,2013-12-01,David Moyes,Permanent,Tottenham,a,2,2,0,40,20,20,40,20,20,21
1474459,Premier League,league,2013-12-04,David Moyes,Permanent,Everton,h,0,1,-1,40,21,19,40,21,19,22
1474518,Premier League,league,2013-12-07,David Moyes,Permanent,Newcastle,h,0,1,-1,40,22,18,40,22,18,23
1573716,Champions League,league,2013-12-10,David Moyes,Permanent,Shakhtar Donetsk,h,1,0,1,41,22,19,41,22,19,24
1474533,Premier League,league,2013-12-15,David Moyes,Permanent,Aston Villa,a,3,0,3,44,22,22,44,22,22,25
1609811,League Cup,knockout,2013-12-18,David Moyes,Permanent,Stoke,a,2,0,2,46,22,24,46,22,24,26
1474576,Premier League,league,2013-12-21,David Moyes,Permanent,West Ham,h,3,1,2,49,23,26,49,23,26,27
1474610,Premier League,league,2013-12-26,David Moyes,Permanent,Hull,a,3,2,1,52,25,27,52,25,27,28
1474659,Premier League,league,2013-12-28,David Moyes,Permanent,Norwich,a,1,0,1,53,25,28,53,25,28,29
1474698,Premier League,league,2014-01-01,David Moyes,Permanent,Tottenham,h,1,2,-1,54,27,27,54,27,27,30
1622466,FA Cup,knockout,2014-01-05,David Moyes,Permanent,Swansea,h,1,2,-1,55,29,26,55,29,26,31
1626421,League Cup,knockout,2014-01-07,David Moyes,Permanent,Sunderland,a,1,2,-1,56,31,25,56,31,25,32
1474912,Premier League,league,2014-01-11,David Moyes,Permanent,Swansea,h,2,0,2,58,31,27,58,31,27,33
1474923,Premier League,league,2014-01-19,David Moyes,Permanent,Chelsea,a,1,3,-2,59,34,25,59,34,25,34
1626423,League Cup,knockout,2014-01-22,David Moyes,Permanent,Sunderland,h,2,1,1,61,35,26,61,35,26,35
1474937,Premier League,league,2014-01-28,David Moyes,Permanent,Cardiff,h,2,0,2,63,35,28,63,35,28,36
1474954,Premier League,league,2014-02-01,David Moyes,Permanent,Stoke,a,1,2,-1,64,37,27,64,37,27,37
1474962,Premier League,league,2014-02-09,David Moyes,Permanent,Fulham,h,2,2,0,66,39,27,66,39,27,38
1474968,Premier League,league,2014-02-12,David Moyes,Permanent,Arsenal,a,0,0,0,66,39,27,66,39,27,39
1474984,Premier League,league,2014-02-22,David Moyes,Permanent,Crystal Palace,a,2,0,2,68,39,29,68,39,29,40
1625212,Champions League,knockout,2014-02-25,David Moyes,Permanent,Olympiacos,a,0,2,-2,68,41,27,68,41,27,41
1475013,Premier League,league,2014-03-08,David Moyes,Permanent,West Brom,a,3,0,3,71,41,30,71,41,30,42
1475020,Premier League,league,2014-03-16,David Moyes,Permanent,Liverpool,h,0,3,-3,71,44,27,71,44,27,43
1625219,Champions League,knockout,2014-03-19,David Moyes,Permanent,Olympiacos,h,3,0,3,74,44,30,74,44,30,44
1475038,Premier League,league,2014-03-22,David Moyes,Permanent,West Ham,a,2,0,2,76,44,32,76,44,32,45
1474997,Premier League,league,2014-03-25,David Moyes,Permanent,Man City,h,0,3,-3,76,47,29,76,47,29,46
1475043,Premier League,league,2014-03-29,David Moyes,Permanent,Aston Villa,h,4,1,3,80,48,32,80,48,32,47
1679352,Champions League,knockout,2014-04-01,David Moyes,Permanent,Bayern München,h,1,1,0,81,49,32,81,49,32,48
1475058,Premier League,league,2014-04-05,David Moyes,Permanent,Newcastle,a,4,0,4,85,49,36,85,49,36,49
1679353,Champions League,knockout,2014-04-09,David Moyes,Permanent,Bayern München,a,1,3,-2,86,52,34,86,52,34,50
1475078,Premier League,league,2014-04-20,David Moyes,Permanent,Everton,a,0,2,-2,86,54,32,86,54,32,51
1475091,Premier League,league,2014-04-26,Ryan Giggs,Caretaker,Norwich,h,4,0,4,4,0,4,90,54,36,1
1475103,Premier League,league,2014-05-03,Ryan Giggs,Caretaker,Sunderland,h,0,1,-1,4,1,3,90,55,35,2
1475067,Premier League,league,2014-05-06,Ryan Giggs,Caretaker,Hull,h,3,1,2,7,2,5,93,56,37,3
1475116,Premier League,league,2014-05-11,Ryan Giggs,Caretaker,Southampton,a,1,1,0,8,3,5,94,57,37,4
1723986,Premier League,league,2014-08-16,Louis van Gaal,Permanent,Swansea,h,1,2,-1,1,2,-1,95,59,36,1
1723999,Premier League,league,2014-08-24,Louis van Gaal,Permanent,Sunderland,a,1,1,0,2,3,-1,96,60,36,2
1809097,League Cup,knockout,2014-08-26,Louis van Gaal,Permanent,MK Dons,a,0,4,-4,2,7,-5,96,64,32,3
1724003,Premier League,league,2014-08-30,Louis van Gaal,Permanent,Burnley,a,0,0,0,2,7,-5,96,64,32,4
1724017,Premier League,league,2014-09-14,Louis van Gaal,Permanent,QPR,h,4,0,4,6,7,-1,100,64,36,5
1724025,Premier League,league,2014-09-21,Louis van Gaal,Permanent,Leicester,a,3,5,-2,9,12,-3,103,69,34,6
1724037,Premier League,league,2014-09-27,Louis van Gaal,Permanent,West Ham,h,2,1,1,11,13,-2,105,70,35,7
1724047,Premier League,league,2014-10-05,Louis van Gaal,Permanent,Everton,h,2,1,1,13,14,-1,107,71,36,8
1724061,Premier League,league,2014-10-20,Louis van Gaal,Permanent,West Brom,a,2,2,0,15,16,-1,109,73,36,9
1724064,Premier League,league,2014-10-26,Louis van Gaal,Permanent,Chelsea,h,1,1,0,16,17,-1,110,74,36,10
1724079,Premier League,league,2014-11-02,Louis van Gaal,Permanent,Man City,a,0,1,-1,16,18,-2,110,75,35,11
1724084,Premier League,league,2014-11-08,Louis van Gaal,Permanent,Crystal Palace,h,1,0,1,17,18,-1,111,75,36,12
1724092,Premier League,league,2014-11-22,Louis van Gaal,Permanent,Arsenal,a,2,1,1,19,19,0,113,76,37,13
1724104,Premier League,league,2014-11-29,Louis van Gaal,Permanent,Hull,h,3,0,3,22,19,3,116,76,40,14
1724115,Premier League,league,2014-12-02,Louis van Gaal,Permanent,Stoke,h,2,1,1,24,20,4,118,77,41,15
1724128,Premier League,league,2014-12-08,Louis van Gaal,Permanent,Southampton,a,2,1,1,26,21,5,120,78,42,16
1724138,Premier League,league,2014-12-14,Louis van Gaal,Permanent,Liverpool,h,3,0,3,29,21,8,123,78,45,17
1724142,Premier League,league,2014-12-20,Louis van Gaal,Permanent,Aston Villa,a,1,1,0,30,22,8,124,79,45,18
1724158,Premier League,league,2014-12-26,Louis van Gaal,Permanent,Newcastle,h,3,1,2,33,23,10,127,80,47,19
1724170,Premier League,league,2014-12-28,Louis van Gaal,Permanent,Tottenham,a,0,0,0,33,23,10,127,80,47,20
1724179,Premier League,league,2015-01-01,Louis van Gaal,Permanent,Stoke,a,1,1,0,34,24,10,128,81,47,21
1873315,FA Cup,knockout,2015-01-04,Louis van Gaal,Permanent,Yeovil,a,2,0,2,36,24,12,130,81,49,22
1724188,Premier League,league,2015-01-11,Louis van Gaal,Permanent,Southampton,h,0,1,-1,36,25,11,130,82,48,23
1724198,Premier League,league,2015-01-17,Louis van Gaal,Permanent,QPR,a,2,0,2,38,25,13,132,82,50,24
1892472,FA Cup,knockout,2015-01-23,Louis van Gaal,Permanent,Cambridge,a,0,0,0,38,25,13,132,82,50,25
1724207,Premier League,league,2015-01-31,Louis van Gaal,Permanent,Leicester,h,3,1,2,41,26,15,135,83,52,26
1905875,FA Cup,knockout,2015-02-03,Louis van Gaal,Permanent,Cambridge,h,3,0,3,44,26,18,138,83,55,27
1724221,Premier League,league,2015-02-08,Louis van Gaal,Permanent,West Ham,a,1,1,0,45,27,18,139,84,55,28
1724224,Premier League,league,2015-02-11,Louis van Gaal,Permanent,Burnley,h,3,1,2,48,28,20,142,85,57,29
1906622,FA Cup,knockout,2015-02-16,Louis van Gaal,Permanent,Preston,a,3,1,2,51,29,22,145,86,59,30
1724240,Premier League,league,2015-02-21,Louis van Gaal,Permanent,Swansea,a,1,2,-1,52,31,21,146,88,58,31
1724246,Premier League,league,2015-02-28,Louis van Gaal,Permanent,Sunderland,h,2,0,2,54,31,23,148,88,60,32
1724259,Premier League,league,2015-03-04,Louis van Gaal,Permanent,Newcastle,a,1,0,1,55,31,24,149,88,61,33
1924582,FA Cup,knockout,2015-03-09,Louis van Gaal,Permanent,Arsenal,h,1,2,-1,56,33,23,150,90,60,34
1724268,Premier League,league,2015-03-15,Louis van Gaal,Permanent,Tottenham,h,3,0,3,59,33,26,153,90,63,35
1724274,Premier League,league,2015-03-22,Louis van Gaal,Permanent,Liverpool,a,2,1,1,61,34,27,155,91,64,36
1724288,Premier League,league,2015-04-04,Louis van Gaal,Permanent,Aston Villa,h,3,1,2,64,35,29,158,92,66,37
1724294,Premier League,league,2015-04-12,Louis van Gaal,Permanent,Man City,h,4,2,2,68,37,31,162,94,68,38
1724304,Premier League,league,2015-04-18,Louis van Gaal,Permanent,Chelsea,a,0,1,-1,68,38,30,162,95,67,39
1724315,Premier League,league,2015-04-26,Louis van Gaal,Permanent,Everton,a,0,3,-3,68,41,27,162,98,64,40
1724327,Premier League,league,2015-05-02,Louis van Gaal,Permanent,West Brom,h,0,1,-1,68,42,26,162,99,63,41
1724335,Premier League,league,2015-05-09,Louis van Gaal,Permanent,Crystal Palace,a,2,1,1,70,43,27,164,100,64,42
1724344,Premier League,league,2015-05-17,Louis van Gaal,Permanent,Arsenal,h,1,1,0,71,44,27,165,101,64,43
1724357,Premier League,league,2015-05-24,Louis van Gaal,Permanent,Hull,a,0,0,0,71,44,27,165,101,64,44
1987037,Premier League,league,2015-08-08,Louis van Gaal,Permanent,Tottenham,h,1,0,1,72,44,28,166,101,65,45
1987078,Premier League,league,2015-08-14,Louis van Gaal,Permanent,Aston Villa,a,1,0,1,73,44,29,167,101,66,46
